name,position,cost,xmins,ep_gw1,ep_gw2,ep_gw3,ep_gw4,ep_gw5
Hato,DEF,5.0,17,0.8,0.9,1.5,1.2,1.1
Nmecha,FWD,5.0,25,1.6,1.0,1.0,0.8,1.0
Khusanov,DEF,5.5,25,1.1,1.1,1.1,1.2,0.8
F.Kadıoğlu,DEF,4.5,24,1.1,1.1,0.9,0.9,1.2
Awoniyi,FWD,5.5,18,1.1,0.8,1.2,1.0,1.0
Bailey,MID,5.5,16,1.0,0.8,1.0,1.1,1.4
Sosa,DEF,5.0,20,0.7,1.0,1.1,1.5,0.9
Isidor,FWD,5.5,13,0.7,1.0,1.3,0.9,1.2
Y. Mosquera,DEF,4.5,19,0.6,0.8,1.1,1.1,1.7
Koleosho,MID,5.0,16,0.8,1.2,1.0,0.9,1.1
Coppola,DEF,4.5,24,1.1,0.9,0.9,1.0,1.3
Aké,DEF,5.5,21,0.9,1.1,1.0,1.2,0.8
Hill,DEF,4.0,48,1.5,0.8,0.8,1.0,0.9
Mount,MID,6.0,19,1.0,0.9,1.2,1.0,1.0
L.Guilherme,MID,5.0,18,1.1,0.9,1.1,1.0,0.8
Devenny,MID,4.5,19,0.9,1.1,0.8,1.2,0.8
Morato,DEF,4.5,14,0.6,0.8,1.2,0.9,1.4
Jackson Tchatchoua,DEF,0.0,0,0.0,0.9,1.4,1.0,1.4
J. Gomez,DEF,5.0,17,0.6,0.8,0.8,1.2,1.3
N. Patterson,DEF,4.5,26,0.8,0.9,1.2,1.1,0.7
Laurent,MID,5.0,27,1.0,1.0,0.8,0.8,0.9
Højlund,FWD,6.5,20,1.1,0.7,0.9,0.9,0.9
R.Gomes,DEF,4.5,27,1.0,0.6,1.2,0.6,1.1
Hee Chan,MID,6.0,7,0.5,0.8,0.9,1.0,1.2
Boscagli,DEF,4.5,18,0.8,0.9,0.9,0.9,1.0
Botman,DEF,5.0,23,0.9,0.8,0.6,1.1,1.0
Mavropanos,DEF,4.5,14,0.6,0.7,0.9,1.1,0.9
Danso,DEF,4.5,21,1.0,0.6,0.9,0.9,0.9
G.Rodriguez,MID,5.0,15,0.6,0.7,0.8,1.0,1.1
H.Traorè,MID,4.5,27,1.3,1.4,0.5,0.6,0.5
Sonne,DEF,4.0,19,0.7,1.1,0.8,0.8,0.9
Clyne,DEF,4.0,15,0.5,0.8,0.7,1.2,0.8
Seelt,DEF,4.0,66,2.2,0.7,0.7,0.3,0.1
J.Cuenca,DEF,4.5,37,1.3,1.2,0.8,0.3,0.4
Bissouma,MID,5.5,10,0.5,0.6,0.9,1.0,1.0
Masuaku,DEF,4.0,22,0.8,0.7,1.0,0.7,0.7
Aznou,DEF,4.5,41,1.6,0.5,0.6,0.7,0.5
Stones,DEF,5.5,16,0.7,0.8,0.7,1.1,0.5
Foster,FWD,5.0,20,1.1,1.1,0.5,0.5,0.5
Bornauw,DEF,4.0,38,1.2,0.4,0.7,0.6,0.8
M.Bizot,GKP,4.5,93,3.4,0.1,0.1,0.0,0.1
Lucas Pires,DEF,4.0,17,0.5,1.1,0.7,0.6,0.7
Jota,MID,5.5,13,0.8,0.7,0.8,0.5,0.8
Neil,MID,5.0,16,0.6,0.6,0.9,0.7,0.8
Scarles,DEF,4.5,14,0.7,0.6,0.9,0.8,0.7
Nørgaard,MID,5.5,13,0.6,0.7,0.7,0.7,0.8
Summerville,MID,5.5,0,0.0,0.0,0.0,1.1,2.3
Wissa,FWD,7.5,0,0.0,0.0,0.0,1.0,2.3
Tzimas,FWD,5.5,6,0.5,0.4,0.7,0.7,0.9
Gray,MID,5.0,15,0.6,0.5,0.6,0.8,0.8
Kiwior,DEF,5.5,5,0.2,1.6,0.3,0.5,0.5
A.Ramsey,MID,4.5,5,0.4,0.6,0.6,0.7,1.0
C. Mosquera,DEF,5.5,4,0.2,1.6,0.2,0.7,0.5
Byram,DEF,4.0,20,0.8,0.4,0.6,0.7,0.6
Chiesa,MID,6.5,7,0.6,0.5,0.6,0.7,0.8
Weiss,GKP,4.5,44,1.5,1.1,0.2,0.1,0.2
L.Miley,MID,4.5,10,0.5,0.7,0.7,0.7,0.5
Gruev,MID,5.0,12,0.5,0.6,0.6,0.7,0.7
Nwaneri,MID,5.5,7,0.5,0.6,0.5,0.8,0.6
Areola,GKP,4.5,46,1.9,0.2,0.3,0.3,0.3
Philip,MID,5.0,22,1.0,1.1,0.3,0.3,0.3
Barkley,MID,5.0,5,0.3,0.5,0.7,0.8,0.8
Rigg,MID,5.0,10,0.6,0.5,0.6,0.5,0.6
Pinnock,DEF,4.5,6,0.3,0.4,1.0,0.5,0.7
Tuanzebe,DEF,4.0,10,0.3,0.6,0.6,0.5,0.8
Buonanotte,MID,5.0,6,0.5,0.5,0.6,0.4,0.6
Bogarde,DEF,4.0,11,0.4,0.4,0.5,0.5,0.8
Cairney,MID,5.0,6,0.4,0.4,0.5,0.6,0.6
Zirkzee,FWD,6.0,4,0.2,0.5,0.7,0.5,0.7
Bobb,MID,5.5,7,0.5,0.5,0.4,0.5,0.5
Tchaouna,MID,5.0,4,0.3,0.6,0.5,0.4,0.5
Édouard,FWD,5.0,3,0.2,0.5,0.5,0.8,0.4
Kalajdžić,FWD,5.0,3,0.3,0.3,0.5,0.5,0.7
Lavia,MID,5.0,20,0.2,0.3,0.5,0.6,0.6
Ajer,DEF,4.5,10,0.4,0.5,0.6,0.4,0.4
D.Essugo,MID,4.5,9,0.5,0.5,0.5,0.4,0.5
